Task,Category,Priority
Listen to car 671,Personal,Medium
Buy dancing class 556,Personal,Low
Read psychology notes 814,Study,Medium
Play dancing class 382,Personal,Low
Schedule project report 34,Work,Medium
Read history essay 577,Study,Medium
Research team meeting 212,Work,High
Research software feature 441,Work,Medium
Practice math assignment 233,Study,Medium
Review code documentation 508,Work,Medium
Memorize math assignment 555,Study,Medium
Complete history essay 951,Study,Medium
Research final exam 983,Study,High
Write physics numericals 15,Study,Medium
Develop software feature 356,Work,Medium
Prepare thesis introduction 761,Study,Medium
Exercise football with friends 454,Personal,Low
Organize project report 505,Work,Medium
Memorize geography project 32,Study,Medium
Write physics numericals 999,Study,Medium
Wash weekend trip 181,Personal,Low
Watch wardrobe 52,Personal,Low
Take notes for psychology notes 813,Study,Medium
Play living room 103,Personal,Medium
Update software feature 989,Work,Medium
Wash favorite podcast 350,Personal,Low
Go to weekly groceries 261,Personal,Medium
Develop code documentation 929,Work,Medium
Organize dentist appointment 255,Personal,Medium
Study machine learning tutorial 67,Study,Medium
Practice machine learning tutorial 259,Study,Medium
Watch Netflix movie 874,Personal,Low
Write university library books 111,Study,Medium
Attend healthy dinner 796,Personal,Medium
Study online course 76,Study,Medium
Research math assignment 138,Study,Medium
Organize marketing strategy 175,Work,Medium
Develop software feature 810,Work,Medium
Revise university library books 840,Study,Medium
Analyze contract for freelancer 79,Work,Medium
Submit project report 331,Work,High
Complete project report 397,Work,Medium
Study chemistry lab report 762,Study,Medium
Schedule budget sheet 536,Work,Medium
Revise thesis introduction 716,Study,Medium
Plan electricity bill 845,Personal,High
Plan dentist appointment 556,Personal,Medium
Complete client proposal 225,Work,Medium
Go to football with friends 531,Personal,Low
Review software feature 939,Work,Medium
Visit electricity bill 841,Personal,High
Attend history essay 449,Study,Medium
Practice university library books 38,Study,Medium
Complete final exam 589,Study,High
Cook weekend trip 54,Personal,Low
Attend online course 500,Study,Medium
Read thesis introduction 492,Study,Medium
Solve English vocabulary 904,Study,Medium
Email marketing strategy 545,Work,Medium
Take notes for online course 605,Study,Medium
Pay car 587,Personal,Medium
Memorize chemistry lab report 120,Study,Medium
Complete thesis introduction 314,Study,Medium
Practice psychology notes 4,Study,Medium
Fix marketing strategy 570,Work,Medium
Fix server maintenance 850,Work,Medium
Watch English vocabulary 570,Study,Low
Complete server maintenance 164,Work,Medium
Submit coding challenge 723,Study,High
Prepare final exam 414,Study,High
Research quarterly sales data 672,Work,Medium
Study chemistry lab report 763,Study,Medium
Update code documentation 377,Work,Medium
Research biology chapter 604,Study,Medium
Draft budget sheet 780,Work,Medium
Solve chemistry lab report 647,Study,Medium
Pay Netflix movie 898,Personal,Low
Study machine learning tutorial 888,Study,Medium
Review business lead 563,Work,Medium
Email project report 276,Work,Medium
Attend dancing class 8,Personal,Low
Solve English vocabulary 61,Study,Medium
Study psychology notes 95,Study,Medium
Research budget sheet 194,Work,Medium
Plan gym workout 882,Personal,Medium
Watch English vocabulary 952,Study,Low
Update software feature 151,Work,Medium
Read chemistry lab report 755,Study,Medium
Revise math assignment 309,Study,Medium
Update sprint plan 651,Work,Medium
Prepare history essay 331,Study,Medium
Read final exam 96,Study,High
Cook weekly groceries 947,Personal,Medium
Listen to wardrobe 180,Personal,Medium
Solve online course 235,Study,Medium
Research chemistry lab report 766,Study,Medium
Develop sprint plan 557,Work,Medium
Cook garden plants 996,Personal,Medium
Attend living room 870,Personal,Medium
Attend thesis introduction 184,Study,Medium
Visit garden plants 861,Personal,Medium
Submit history essay 703,Study,High
Solve coding challenge 645,Study,Medium
Visit Netflix movie 146,Personal,Low
Solve English vocabulary 836,Study,Medium
Complete machine learning tutorial 736,Study,Medium
Research contract for freelancer 783,Work,Medium
Submit biology chapter 26,Study,High
Complete server maintenance 268,Work,Medium
Take notes for history essay 176,Study,Medium
Pay football with friends 291,Personal,Low
Clean garden plants 451,Personal,Low
Develop project report 143,Work,Medium
Memorize university library books 332,Study,Medium
Water living room 141,Personal,Medium
Plan football with friends 862,Personal,Low
Attend yoga session 337,Personal,Medium
Read history essay 149,Study,Medium
Present software feature 92,Work,Medium
Play garden plants 156,Personal,Medium
Organize budget sheet 722,Work,Medium
Wash weekend trip 61,Personal,Low
Memorize English vocabulary 543,Study,Medium
Study physics numericals 57,Study,Medium
Take notes for chemistry lab report 181,Study,Medium
Watch final exam 383,Study,High
Solve geography project 69,Study,Medium
Attend code documentation 247,Work,Medium
Revise English vocabulary 807,Study,Medium
Memorize final exam 536,Study,High
Analyze bug in production 797,Work,High
Organize quarterly sales data 691,Work,Medium
Study English vocabulary 666,Study,Medium
Revise physics numericals 801,Study,Medium
Visit Netflix movie 257,Personal,Low
Attend thesis introduction 675,Study,Medium
Visit wardrobe 487,Personal,Medium
Review contract for freelancer 134,Work,Medium
Pay gym workout 621,Personal,Medium
Attend math assignment 97,Study,Medium
Complete English vocabulary 468,Study,Medium
Plan favorite podcast 164,Personal,Low
Cook yoga session 434,Personal,Medium
Clean yoga session 400,Personal,Low
Draft quarterly sales data 130,Work,Medium
Revise coding challenge 177,Study,Medium
Present contract for freelancer 884,Work,Medium
Call sprint plan 999,Work,Medium
Cook electricity bill 412,Personal,High
Go to living room 489,Personal,Medium
Call contract for freelancer 708,Work,Medium
Buy dancing class 436,Personal,Low
Complete coding challenge 791,Study,Medium
Complete quarterly sales data 556,Work,Medium
Submit server maintenance 731,Work,High
Cook favorite podcast 357,Personal,Low
Watch chemistry lab report 334,Study,Low
Research office workstation 326,Work,Medium
Study geography project 26,Study,Medium
Practice coding challenge 181,Study,Medium
Fix software feature 590,Work,Medium
Study university library books 998,Study,Medium
Submit thesis introduction 216,Study,High
Memorize final exam 101,Study,High
Complete thesis introduction 24,Study,Medium
Prepare English vocabulary 987,Study,Medium
Water weekend trip 522,Personal,Low
Attend software feature 868,Work,Medium
Develop bug in production 974,Work,High
Practice biology chapter 358,Study,Medium
Develop server maintenance 333,Work,Medium
Play weekend trip 614,Personal,Low
Plan living room 753,Personal,Medium
Present software feature 825,Work,Medium
Watch dancing class 908,Personal,Low
Solve math assignment 307,Study,Medium
Pay dancing class 639,Personal,Low
Water weekly groceries 543,Personal,Medium
Clean car 100,Personal,Low
Email software feature 854,Work,Medium
Practice history essay 490,Study,Medium
Study final exam 886,Study,High
Water garden plants 511,Personal,Medium
Memorize online course 892,Study,Medium
Attend coding challenge 532,Study,Medium
Study geography project 124,Study,Medium
Schedule sprint plan 791,Work,Medium
Attend weekly groceries 917,Personal,Medium
Present budget sheet 945,Work,Medium
Present project report 589,Work,Medium
Organize project report 685,Work,Medium
Analyze budget sheet 119,Work,Medium
Water weekend trip 306,Personal,Low
Research geography project 968,Study,Medium
Visit living room 425,Personal,Medium
Develop client proposal 377,Work,Medium
Go to wardrobe 58,Personal,Medium
Draft office workstation 693,Work,Medium
Water electricity bill 149,Personal,High
Take notes for machine learning tutorial 813,Study,Medium
Buy living room 301,Personal,Medium
Listen to dancing class 410,Personal,Low
Draft quarterly sales data 379,Work,Medium
Organize bug in production 772,Work,High
Pay football with friends 938,Personal,Low
Complete software feature 509,Work,Medium
Solve English vocabulary 983,Study,Medium
Complete server maintenance 680,Work,Medium
Review marketing strategy 497,Work,Medium
Draft marketing strategy 258,Work,Medium
Organize football with friends 139,Personal,Low
Attend business lead 109,Work,Medium
Email contract for freelancer 667,Work,Medium
Prepare geography project 337,Study,Medium
Review LinkedIn profile 579,Work,Medium
Visit gym workout 143,Personal,Medium
Attend coding challenge 236,Study,Medium
Plan dentist appointment 260,Personal,Medium
Complete thesis introduction 166,Study,Medium
Develop budget sheet 647,Work,Medium
Buy electricity bill 6,Personal,High
Update client proposal 362,Work,Medium
Practice final exam 224,Study,High
Wash healthy dinner 791,Personal,Medium
Attend football with friends 466,Personal,Low
Organize dentist appointment 290,Personal,Medium
Draft sprint plan 680,Work,Medium
Plan garden plants 842,Personal,Medium
Study geography project 378,Study,Medium
Draft LinkedIn profile 216,Work,Medium
Go to favorite podcast 15,Personal,Low
Pay weekly groceries 227,Personal,Medium
Go to living room 124,Personal,Medium
Prepare physics numericals 108,Study,Medium
Pay living room 567,Personal,Medium
Play electricity bill 885,Personal,High
Complete business lead 630,Work,Medium
Review bug in production 873,Work,High
Analyze project report 322,Work,Medium
Pay dancing class 140,Personal,Low
Play car 81,Personal,Medium
Develop sprint plan 157,Work,Medium
Listen to wardrobe 444,Personal,Medium
Submit online course 149,Study,High
Organize contract for freelancer 700,Work,Medium
Watch coding challenge 648,Study,Low
Organize favorite podcast 698,Personal,Low
Research geography project 768,Study,Medium
Draft office workstation 485,Work,Medium
Complete contract for freelancer 215,Work,Medium
Attend project report 337,Work,Medium
Complete quarterly sales data 295,Work,Medium
Watch geography project 746,Study,Low
Water electricity bill 700,Personal,High
Complete server maintenance 76,Work,Medium
Prepare biology chapter 5,Study,Medium
Clean wardrobe 956,Personal,Low
Water car 517,Personal,Medium
Study English vocabulary 833,Study,Medium
Prepare math assignment 570,Study,Medium
Schedule contract for freelancer 192,Work,Medium
Study final exam 70,Study,High
Present budget sheet 615,Work,Medium
Attend physics numericals 681,Study,Medium
Clean weekend trip 608,Personal,Low
Solve online course 354,Study,Medium
Organize budget sheet 298,Work,Medium
Develop bug in production 556,Work,High
Take notes for math assignment 298,Study,Medium
Coordinate bug in production 518,Work,High
Water healthy dinner 398,Personal,Medium
Attend machine learning tutorial 832,Study,Medium
Fix software feature 220,Work,Medium
Memorize English vocabulary 770,Study,Medium
Take notes for psychology notes 513,Study,Medium
Complete English vocabulary 481,Study,Medium
Memorize thesis introduction 451,Study,Medium
Plan dentist appointment 675,Personal,Medium
Take notes for history essay 286,Study,Medium
Go to weekly groceries 850,Personal,Medium
Study final exam 769,Study,High
Take notes for university library books 577,Study,Medium
Attend university library books 86,Study,Medium
Take notes for machine learning tutorial 172,Study,Medium
Schedule marketing strategy 639,Work,Medium
Revise English vocabulary 220,Study,Medium
Take notes for coding challenge 932,Study,Medium
Review quarterly sales data 55,Work,Medium
Solve psychology notes 712,Study,Medium
Plan healthy dinner 112,Personal,Medium
Submit budget sheet 335,Work,High
Organize bug in production 316,Work,High
Attend electricity bill 390,Personal,High
Coordinate code documentation 606,Work,Medium
Buy wardrobe 286,Personal,Medium
Plan weekend trip 230,Personal,Low
Clean Netflix movie 403,Personal,Low
Pay healthy dinner 227,Personal,Medium
Read math assignment 640,Study,Medium
Memorize history essay 862,Study,Medium
Draft bug in production 369,Work,High
Wash yoga session 157,Personal,Medium
Cook dentist appointment 906,Personal,Medium
Organize dentist appointment 414,Personal,Medium
Study English vocabulary 514,Study,Medium
Water living room 118,Personal,Medium
Attend car 782,Personal,Medium
Draft code documentation 385,Work,Medium
Prepare psychology notes 274,Study,Medium
Call project report 622,Work,Medium
Study math assignment 486,Study,Medium
Coordinate bug in production 560,Work,High
Attend garden plants 588,Personal,Medium
Plan Netflix movie 588,Personal,Low
